A23	A4 cite 1 NASEM 2024 AMDR letter report, adult fat 20-35 pct energy	VERIFIED - Table 3-1 "Fat: 20-35 percent of energy"; 7.5/27.5 = 27.27 pct confirms A4 +/-27.3 pct	WebFetch nationalacademies.org/read/27957/chapter/5	https://www.nationalacademies.org/read/27957/chapter/5	docs/surgery/CAMPAIGN/solver-brain/A23/FINDINGS.md
A23	A4 cite 2 Delany 2025 Sports Medicine scoping review	VERIFIED - "ranging from 15 to 30% of energy intakes"; "focussed minimal attention"; "often vague, leaving significant room for interpretation"; "three papers advised against excessive restriction below 15%"	WebFetch PMC12513969	https://pmc.ncbi.nlm.nih.gov/articles/PMC12513969/	docs/surgery/CAMPAIGN/solver-brain/A23/FINDINGS.md
A23	A4 cite 3 Aragon 2017 ISSN position stand AMDR sentence	VERIFIED verbatim - "The AMDR set protein at 10-35%, carbohydrate at 45-65%, and fat at 20-35% of total energy."	WebFetch PMC5470183	https://pmc.ncbi.nlm.nih.gov/articles/PMC5470183/	docs/surgery/CAMPAIGN/solver-brain/A23/FINDINGS.md
A23	A4 code claims ESSENTIAL_FAT_PER_LB_LBM, fatLo, keto 0.9/1.12	VERIFIED in tree - bmrEngine.js:286 = 0.3 with comment "fat never drops below this"; :322 lbmLb*0.34; :313 fatMid*0.9 and *1.12	Grep bmrEngine.js	n/a	backend/src/lib/bmrEngine.js
A23	A4 unfetched sources Thomas/Erdman/Burke 2016 and Whittaker & Wu 2021	CORRECTLY LABELLED - Thomas 2016 exists (JAND 116:501-528 / MSSE 48:543-568); A4 marked both UNVERIFIED and used neither as support. No overreach.	WebSearch Thomas Erdman Burke 2016 position stand	https://www.jandonline.org/article/S2212-2672(15)01802-X/abstract	docs/surgery/CAMPAIGN/solver-brain/A23/FINDINGS.md
A23	A5 cite 2 Stigler/NEOS 77 foods 9 nutrients 39.93 vs 39.69	VERIFIED - "9 equations in 77 unknowns"; "His guess for the cost of an optimal diet was $39.93 per year"; simplex optimum $39.69	WebFetch neos-guide.org diet problem	https://neos-guide.org/case-studies/om/the-diet-problem/	docs/surgery/CAMPAIGN/solver-brain/A23/FINDINGS.md
A23	A5 cite 3 van Dooren 2018 three quotes, 52 studies, 5-37 constraints	VERIFIED verbatim on all three quotes; "The total number of studies included for analysis are 52"; constraints 5-37. Search window 2000-2014 plus stated 2015-2016 additions, so A5 "2000-2016" is defensible	WebFetch frontiersin fnut.2018.00048	https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2018.00048/full	docs/surgery/CAMPAIGN/solver-brain/A23/FINDINGS.md
A23	A5 cite 4 Maillot 2010, 1171 individuals, 32 nutrients, all feasible	VERIFIED - "a new nutritionally adequate diet was obtained for each individual"; "In half the modeled diets, <5 of the foods usually consumed were replaced"	WebFetch pubmed 19939986	https://pubmed.ncbi.nlm.nih.gov/19939986/	docs/surgery/CAMPAIGN/solver-brain/A23/FINDINGS.md
A23	A5 cite 6 Leung/Wanitprapha/Quinn 1995 MIP over 895 recipes, weekly	VERIFIED - "mixed-integer programming", "895 popular recipes found in Hawaii", one-week period	WebFetch pubmed 7547833	https://pubmed.ncbi.nlm.nih.gov/7547833/	docs/surgery/CAMPAIGN/solver-brain/A23/FINDINGS.md
A23	A5 cite 7 Aguilera Moreno 2026 arXiv:2605.13849 exists and matches	VERIFIED - "810 instances (30 USDA foods, 9 configurations, 3 methods)"; "strictly better ... in 66% of cases ... while maintaining 100% feasibility; hard-constraint IP achieves only 48%"; "Solve times stay under 100 ms". Single-author preprint; the submitted-date-vs-arXiv-ID discrepancy A5 flagged is real (Submitted 12 Mar 2026 under a 2605 ID)	WebFetch arxiv.org/abs/2605.13849	https://arxiv.org/abs/2605.13849	docs/surgery/CAMPAIGN/solver-brain/A23/FINDINGS.md
